AÑO,MES,CODIGO_SECTOR_N1,PROVINCIA,CANTON,VENTAS_NETAS_TARIFA_GRAVADA,VENTAS_NETAS_TARIFA_0,VENTAS_NETAS_TARIFA_VARIABLE,VENTAS_NETAS_TARIFA_5,EXPORTACIONES,COMPRAS_NETAS_TARIFA_GRAVADA,COMPRAS_NETAS_TARIFA_0,IMPORTACIONES,COMPRAS_RISE,TOTAL_VENTAS,TOTAL_COMPRAS
2025,10,I,CHIMBORAZO,RIOBAMBA,"2126699,9","672259,46","27087,18",0,0,"1451868,83","926537,91","16738,97","114219,38","2798959,36","2511330,79"
2025,10,C,MANABI,SANTA ANA,"38508,75","673366,28",0,0,0,"96425,8","622816,12",0,14080,"711875,03","733321,92"
2025,10,A,ESMERALDAS,ATACAMES,"188130,58","673729,16",0,0,0,"433028,86","375232,27",0,"19367,2","861859,74","827628,33"
2025,10,O,PICHINCHA,RUMIÑAHUI,"128574,71","683994,92",0,0,0,"939154,73","157707,46",0,"16022,75","812569,63","1112884,94"
2025,10,L,LOS RIOS,VINCES,"439736,11","686638,38",0,0,0,"380025,34","562728,48",0,0,"1126374,49","942753,82"
2025,10,G,LOJA,ZAPOTILLO,"464311,43","686753,88",0,95249,0,"650429,73","913879,79","39545,51","6197,55","1151065,31","1610052,58"
2025,10,B,EL ORO,SANTA ROSA,"2240,56","692301,85",0,0,0,"239579,63","9060,11",0,0,"694542,41","248639,74"
2025,10,G,TUNGURAHUA,MOCHA,"446213,89","694943,66",0,"4116,33","114153,35","535988,59","678194,7","177389,21",0,"1255310,9","1391572,5"
2025,10,Q,CAÑAR,AZOGUES,"93435,07","696937,54",0,0,0,"868261,13","685031,58","645,72","14492,23","790372,61","1568430,66"
2025,10,H,EL ORO,SANTA ROSA,"50810,54","702923,09",0,0,0,"667161,7","443960,41",0,"51119,51","753733,63","1162241,62"
2025,10,C,GUAYAS,SALITRE,"102942,23","704016,23",0,0,0,"132365,88","1240416,07",0,0,"806958,46","1372781,95"
2025,10,O,MANABI,PORTOVIEJO,"12782,49","704344,79",0,0,0,"13880687,42","10421923,5","89,8","89292,9","717127,28","24391993,62"
2025,10,M,GUAYAS,MILAGRO,"1895512,4","706192,83",0,"89567,32",4535,"1186121,21","390223,32","748,01","40102,51","2606240,23","1617195,05"
2025,10,A,COTOPAXI,PUJILI,"93083,55","707328,87",0,0,"352305,82","257347,64","895868,16",0,"48890,28","1152718,24","1202106,08"
2025,10,H,GUAYAS,NARANJAL,"521515,77","707513,83",0,0,0,"653760,73","584713,04",0,"69731,78","1229029,6","1308205,55"
2025,10,R,AZUAY,CUENCA,"1729583,11","707811,39","1366,56",0,"25816,29","1320171,63","311950,61","1150,01","102423,74","2463210,79","1735695,99"
2025,10,K,PICHINCHA,MEJIA,"2605,35","709743,65",0,0,0,"59463,08","42646,4",0,"3781,64",712349,"105891,12"
2025,10,S,IMBABURA,IBARRA,"922769,96","713194,58",0,4890,8000,"773663,12","326831,42","16271,41","162093,02","1643964,54","1278858,97"
2025,10,A,IMBABURA,COTACACHI,"423914,34","718833,66",0,"21930,4","3107901,01","1597081,67","1187872,16","348292,69","9522,06","4250649,01","3142768,58"
2025,10,H,GUAYAS,CORONEL MARCELINO MARIDUEÑA,"2968,94","721995,71",0,0,0,"18970,61","656126,01",0,0,"724964,65","675096,62"
2025,10,M,PICHINCHA,MEJIA,"1260163,71","726602,94",0,"7795,01",1500,"806919,66","227035,71","1593,47","30411,24","1988266,65","1065960,08"
2025,10,C,LOS RIOS,URDANETA,"10559,03","728326,42",0,0,0,"42192,47","59726,59",0,1250,"738885,45","103169,06"
2025,10,H,LOJA,CATAMAYO,"194625,44","732517,95",0,"91818,43",0,"397682,84","1265725,63",0,"12658,6","927143,39","1676067,07"
2025,10,G,LOJA,SARAGURO,"1729744,72","741650,1",0,"41363,32",0,"1872058,71","730604,54","121,45","8018,82","2471394,82","2610803,52"
2025,10,D,CAÑAR,AZOGUES,"58513,64","744030,08",0,0,0,"43073,84","569130,42",0,0,"802543,72","612204,26"
2025,10,M,IMBABURA,IBARRA,"4650776,06","744115,94",0,"50339,93",7000,"2331658,55","534131,44","15408,53","350952,4",5401892,"3232241,25"
2025,10,G,ZAMORA CHINCHIPE,EL PANGUI,"1781669,13","744645,96",0,"47378,77",0,"2596582,12","596079,31","2777,43","11644,68","2526315,09","3207083,54"
2025,10,H,GUAYAS,EL TRIUNFO,"495465,42","744854,71",0,1930,0,"550576,92","278294,06",0,"1579,05","1240320,13","830450,03"
2025,10,Q,SUCUMBIOS,LAGO AGRIO,"55028,86","748493,76",0,0,0,"755317,27","455202,58",0,"30212,04","803522,62","1240731,89"
2025,10,H,CHIMBORAZO,CUMANDA,"3067,24","752031,59",0,0,0,"42235,88","523034,27","25688,79","1120,31","755098,83","592079,25"
2025,10,Q,SANTA ELENA,SALINAS,"76591,45","752130,98",0,0,0,"378743,55","265924,38",280,"7321,01","828722,43","652268,94"
2025,10,P,LOS RIOS,QUEVEDO,"74358,29","752190,83",0,0,0,"404846,07","281256,89",150,"16678,87","826549,12","702931,83"
2025,10,A,CARCHI,SAN PEDRO DE HUACA,"1956,09",752612,0,0,0,"36092,73","606931,37",0,614,"754568,09","643638,1"
2025,10,S,CHIMBORAZO,RIOBAMBA,"1348769,93","753252,39",0,"3237,6",30,"1374579,28","508428,01","1869,96","77890,48","2102052,32","1962767,73"
2025,10,K,SANTA ELENA,LA LIBERTAD,"33796,45","756370,79",0,0,0,"101737,42","42429,1",0,"6039,21","790167,24","150205,73"
2025,10,C,SUCUMBIOS,LAGO AGRIO,"2345792,4","764012,78",0,"42999,92",0,"1498455,58","681382,56","62866,15","54842,42","3109805,18","2297546,71"
2025,10,Q,ORELLANA,ORELLANA,"40698,89","765834,62",0,0,0,"188025,96","266080,3","235,86","23963,58","806533,51","478305,7"
2025,10,B,LOJA,LOJA,"468392,55","770755,75",0,"5593,48",0,"1193329,31","67381,51",0,"4254,5","1239148,3","1264965,32"
2025,10,G,EL ORO,ZARUMA,"4684757,96","771174,94",0,"456611,87",0,"2896724,74","1652444,88","1934059,52","20803,82","5455932,9","6504032,96"
2025,10,C,CAÑAR,EL TAMBO,"17375,23","776846,93",0,"6430,64",0,"69484,51","639744,29",0,450,"794222,16","709678,8"
2025,10,G,AZUAY,SANTA ISABEL,"2822025,35","776914,72",0,"395518,1",0,"3017688,15","787126,35","30622,33","25058,43","3598940,07","3860495,26"
2025,10,E,GUAYAS,DURAN,"4391124,95","776967,7",0,"1011,6","64168,3","2627435,73","894958,92","830558,27","62591,2","5232260,95","4415544,12"
2025,10,G,MANABI,PUERTO LOPEZ,"1208883,01","782872,05",0,"110492,45",0,"1284682,56","190345,53","208046,42","211644,28","1991755,06","1894718,79"
2025,10,S,COTOPAXI,LATACUNGA,"1094495,07","789051,96",0,"118270,09","9690,6","968689,32","571220,32","1937,52","121163,55","1893237,63","1663010,71"
2025,10,H,SANTO DOMINGO DE LOS TSACHILAS,LA CONCORDIA,"328138,93","793832,04",0,0,0,"365570,44","590863,24","327,8","43792,1","1121970,97","1000553,58"
2025,10,G,TUNGURAHUA,PATATE,"798662,28","795687,3",0,"12754,18",0,"752545,17","599160,03","49708,99","5810,07","1594349,58","1407224,26"
2025,10,E,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,"1805161,01","798819,19",0,"110553,62",0,"900924,05","2139435,66","2154,59","20957,71","2603980,2","3063472,01"
2025,10,O,AZUAY,CAMILO PONCE ENRIQUEZ,"1778,91","801484,14",0,0,0,"285726,3","43089,69",0,"3550,63","803263,05","332366,62"
2025,10,A,MANABI,BOLIVAR,"52835,52","804064,15",0,0,0,"117035,11","515165,75",0,3560,"856899,67","635760,86"
2025,10,N,MANABI,MANTA,"2365905,5","808643,96","1203,71",0,0,"1323334,57","771443,61","1309,45","158784,01","3174549,46","2254871,64"
2025,10,A,MANABI,24 DE MAYO,"11160,04","812777,57",0,0,0,"48713,48","1102140,93",0,"6159,24","823937,61","1157013,65"
2025,10,C,GALAPAGOS,SANTA CRUZ,"465238,93","813186,15","688,5",0,0,516018,"212499,22",0,"19240,57","1278425,08","747757,79"
2025,10,K,IMBABURA,IBARRA,"322042,89","818208,13",0,0,0,"678605,63","213353,67",0,"29623,4","1140251,02","937654,93"
2025,10,G,ZAMORA CHINCHIPE,CHINCHIPE,"316497,7","818904,9",0,"19437,33",0,"501312,54","261149,89","9216,02",2110,"1135402,6","773788,45"
2025,10,B,ZAMORA CHINCHIPE,YANTZAZA,"635413,11","823040,68",0,"68942,43","197118981,44","22105495,57","4130925,7","3526439,66","28479,31","198577435,23","33379052,64"
2025,10,A,MORONA SANTIAGO,PALORA,"83854,27","824331,68",0,"20907,15","1358980,47","352942,22","1348561,87","26823,4","43312,37","2267166,42","1771639,86"
2025,10,A,LOJA,ZAPOTILLO,"39372,2","825300,78",0,0,0,"201544,11","837320,09",0,"6747,1","864672,98","1045611,3"
2025,10,A,MANABI,FLAVIO ALFARO,"69112,58","827177,66",0,"10096,52",0,"127056,89","637386,36",0,18418,"896290,24","782861,25"
2025,10,G,MORONA SANTIAGO,PALORA,"741643,33","833461,6",0,"18450,13","371644,4","813444,2","1200166,46","778,85","10600,37","1946749,33","2024989,88"
2025,10,G,MORONA SANTIAGO,GUALAQUIZA,"2762871,9","839114,36",0,"212896,03",0,"3114499,19","818329,67","10849,27","13967,84","3601986,26","3957645,97"
2025,10,S,LOJA,LOJA,"870065,12","845628,33","820,08",3633,3400,"1073973,2","261643,24","62174,29","151433,35","1719093,45","1549224,08"
2025,10,I,MANABI,PORTOVIEJO,"1414440,62","847378,02","25122,26",0,0,"1071939,83","740152,36","5008,36","87117,19","2261818,64","1904217,74"
2025,10,M,GUAYAS,DURAN,"3201213,29","851644,68",0,4274,"62846,59","2222500,96","540683,17","14873,71","148518,12","4115704,56","2926575,96"
2025,10,N,GUAYAS,DURAN,"5887479,81","854712,14",0,"35724,18","10232065,07","2388285,94","9115985,51","159597,39","67478,06","16974257,02","11768519,69"
2025,10,S,ORELLANA,ORELLANA,"1103499,47","856582,59",0,30,0,"1081672,45","176518,15","951,83","31160,14","1960082,06","1290302,57"
2025,10,N,TUNGURAHUA,AMBATO,"3718123,9","857441,67","987,28","13456,19",0,"1565039,98","759921,72","68766,92","56798,75","4575565,57","2450527,37"
2025,10,G,EL ORO,MARCABELI,"229092,4","865328,5",0,"41405,61",0,"315427,93","826358,93",0,1795,"1094420,9","1143581,86"
2025,10,I,IMBABURA,IBARRA,"1139248,67","874395,93","43671,4","8544,07","89,57","787623,81","767747,94","9307,72","133487,22","2013734,17","1698166,69"
2025,10,H,TUNGURAHUA,SAN PEDRO DE PELILEO,"79947,98","886947,46",0,0,0,"194801,17","603703,95",0,"1495,1","966895,44","800000,22"
2025,10,C,CARCHI,SAN PEDRO DE HUACA,"1474,16","887055,49",0,0,0,"80910,8","554580,63","297196,86","4852,88","888529,65","937541,17"
2025,10,C,PICHINCHA,PEDRO MONCAYO,"1100236,69","887888,28",0,"2959,77",3191,"737915,27","512269,78","192911,72","36758,94","1991315,97","1479855,71"
2025,10,H,COTOPAXI,LA MANA,"94566,16","892035,29",0,0,0,"340624,76","654954,03","20345,85","34557,8","986601,45","1050482,44"
2025,10,C,CAÑAR,CAÑAR,"189097,62","892132,85",0,1143,0,"222791,8",699345,0,"11354,75","1081230,47","933491,55"
2025,10,A,TUNGURAHUA,MOCHA,"2718,16","892891,08",0,0,0,"40922,97","520595,83",0,"74642,11","895609,24","636160,91"
2025,10,A,CARCHI,MONTUFAR,"55771,76","900958,81",0,0,"25717,85","114400,22","546294,5",0,"2932,38","982448,42","663627,1"
2025,10,S,LOS RIOS,QUEVEDO,"1179602,74","908958,16",0,"4526,44",0,"1000496,64","432984,41","10743,42","66773,78","2088560,9","1510998,25"
2025,10,C,GUAYAS,EL EMPALME,"103584,3","920825,71",0,12977,0,"149719,61","652630,36",0,"4751,66","1024410,01","807101,63"
2025,10,K,MANABI,EL CARMEN,"2777,1","921019,24",0,0,0,"109694,66","60054,4",0,"6418,71","923796,34","176167,77"
2025,10,L,MANABI,MANTA,"2745352,23","921243,1","2407,4",0,0,"1865365,71","481557,14","62027,23","115005,1","3666595,33","2526655,18"
2025,10,S,LOS RIOS,BUENA FE,"286953,9","940831,97",0,0,0,"164988,6","250577,05",0,"234384,19","1227785,87","649949,84"
2025,10,A,CHIMBORAZO,CUMANDA,"13769,31","941259,74",0,0,0,"65848,21","1672449,93",0,"1482,75","955029,05","1739780,89"
2025,10,S,TUNGURAHUA,SAN PEDRO DE PELILEO,"406337,69","942588,6",0,0,0,"402903,11","48084,29","299425,71","5944,19","1348926,29","756357,3"
2025,10,B,EL ORO,ZARUMA,"1058415,46","943651,1",0,0,"5066849,43","4108708,87","1116857,89","423910,21","33350,57","7068915,99","5682827,54"
2025,10,A,GUAYAS,NOBOL,"38143,34","947752,13",0,0,"899308,55","192219,27","928943,11",0,"69050,34","1885204,02","1190212,72"
2025,10,J,AZUAY,CUENCA,"5221935,07","949638,22",0,0,"144190,2","2681956,8","453503,52","3688,09","159704,54","6315763,49","3299725,5"
2025,10,S,EL ORO,PIÑAS,"816670,41","958513,55","1924,08",0,0,"763938,21","1121108,34",0,"16792,63","1775183,96","1901839,18"
2025,10,A,MANABI,JAMA,"13912,21","961846,46",0,0,0,"140144,64","482357,44","10016,06","58982,76","975758,67","691500,9"
2025,10,H,PASTAZA,PASTAZA,"246000,89","964630,63",0,"5441,9","2319,04","492673,08","747518,02",0,"52656,71","1212950,56","1292847,81"
2025,10,G,TUNGURAHUA,BAÑOS DE AGUA SANTA,"1952571,02","983860,27",0,"300487,36",0,"1945613,13","770045,16","177,4","31333,76","2936431,29","2747169,45"
2025,10,I,MANABI,MANTA,"3329107,96","988959,41","223793,88","1168,33",0,"1813789,91","1455117,8","3853,56","214321,4","4318067,37","3487082,67"
2025,10,S,MANABI,PORTOVIEJO,1434897,"988994,53",0,"6561,4",6830,"1679098,2","308608,26","1981,99","106643,31","2430721,53","2113723,06"
2025,10,L,IMBABURA,IBARRA,"1781067,54","998954,97",0,50,0,"830660,8","899446,3","226524,39","25648,45","2780022,51","1982279,94"
2025,10,B,EL ORO,PORTOVELO,"1325809,39","1005970,15",0,150,"5864674,76","3930779,81","2257916,26","115512,6","16356,25","8196454,3","6320564,92"
2025,10,H,BOLIVAR,CALUMA,"466929,66","1009814,47",0,0,0,"497561,98","838618,19",0,"13978,31","1476744,13","1350158,48"
2025,10,A,NAPO,TENA,"43705,33","1010316,46",0,0,0,"97750,3","467783,59","436,46","41714,71","1054021,79","607685,06"
2025,10,L,TUNGURAHUA,AMBATO,"3566949,61","1012780,14","238,86","12978,14",2000,"1561065,77","469280,18","531,69","65777,51","4581729,75","2096655,15"
2025,10,M,MANABI,EL CARMEN,"858976,49","1020902,25",0,0,"1643,48","747545,38","639175,87","15,59","80919,98","1881522,22","1467656,82"
2025,10,A,PICHINCHA,RUMIÑAHUI,"151349,47","1023822,57",0,0,"570151,35","388098,06","771563,25","14236,15","92925,97","1745323,39","1266823,43"
2025,10,A,CAÑAR,CAÑAR,"5918,26","1024401,4",0,0,0,"53507,54","646474,28","1571,33","10676,22","1030319,66","712229,37"
2025,10,I,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,"2062505,44","1027332,69",26718,0,8338,"1710081,04","924719,04","42493,44","83889,02","3098176,13","2761182,54"
2025,10,E,ESMERALDAS,ESMERALDAS,"1696068,52","1028282,55",0,0,0,"738963,22","90878,08",0,"43484,29","2724351,07","873325,59"
2025,10,G,LOJA,PUYANGO,"650678,49","1029263,58",0,"60196,25",0,"796559,15","970561,25",0,2509,"1679942,07","1769629,4"
2025,10,F,EL ORO,EL GUABO,"15519489,62","1034428,53",0,0,0,"369768,25","30031,12","29916,54","8813,75","16553918,15","438529,66"
2025,10,M,LOJA,LOJA,"6962171,94","1037810,55",0,"126203,06","97913,71","3641996,33","685665,77","29719,75","157827,95","8097896,2","4515209,8"
2025,10,G,LOJA,CALVAS,"1349425,23","1038597,07",0,"62948,06",0,"1656787,65","1047176,34","452,78","20231,94","2388022,3","2724648,71"
2025,10,G,COTOPAXI,PANGUA,"816445,37","1051938,5",0,"35076,59",0,"806812,69","916555,59",5487,"19963,05","1868383,87","1748818,33"
2025,10,P,COTOPAXI,LATACUNGA,"207056,03","1062592,36",0,0,10,"1047119,03","173129,12","3685,23","36934,24","1269658,39","1260867,62"
2025,10,I,GALAPAGOS,SANTA CRUZ,"1485781,77","1064942,41","91520,29",0,"1784,55","964329,43","597994,85",0,"131029,51","2552508,73","1693353,79"
2025,10,R,GUAYAS,DAULE,"501254,01","1079731,48",0,0,0,"504631,79","899021,19",0,"8109,44","1580985,49","1411762,42"
2025,10,C,TUNGURAHUA,SANTIAGO DE PILLARO,"224001,24","1087568,07",0,"1947,29","260351,04","902474,64","1366563,8","208,04","60619,15","1571920,35","2329865,63"
2025,10,M,CHIMBORAZO,RIOBAMBA,"5098918,19","1089007,95",0,"140506,74","64078,47","3626817,1","858255,83","71620,18","116145,06","6252004,61","4672838,17"
2025,10,C,IMBABURA,ANTONIO ANTE,"3297367,45","1091103,38",0,"151895,84","237723,5","2481575,57","797235,62","13374,35","231708,03","4626194,33","3524306,57"
2025,10,G,IMBABURA,COTACACHI,"1359378,68","1103259,7",0,"150856,39","10993,27","1604975,29","826939,67","18611,54","25770,91","2473631,65","2476297,41"
2025,10,F,EL ORO,MACHALA,"8141062,1","1104724,27",0,"285791,73",0,"8997439,23","762820,47","121193,37","561432,17","9245786,37","10442885,24"
2025,10,M,PICHINCHA,RUMIÑAHUI,"6217174,72","1104844,82",0,"25196,26","181666,81","3707798,68","1203168,98","82671,22","170052,57","7503686,35","5163691,45"
2025,10,A,BOLIVAR,ECHEANDIA,"10271,27","1105924,93",0,0,0,"46960,82","355651,83",0,"11301,3","1116196,2","413913,95"
2025,10,E,MANABI,PORTOVIEJO,"176354,61","1117433,02",0,0,0,"329681,66","135947,57",0,"9235,9","1293787,63","474865,13"
2025,10,Q,LOS RIOS,BABAHOYO,"128407,25","1122228,21",0,0,0,"1836472,15","377935,25",3,10423,"1250635,46","2224833,4"
2025,10,G,PICHINCHA,SAN MIGUEL DE LOS BANCOS,"1187590,36","1124827,35",0,"52138,48",0,"1252622,94","967846,51",0,"27141,95","2312417,71","2247611,4"
2025,10,M,ESMERALDAS,QUININDE,"654323,22","1134242,14",0,0,0,"558717,36","368992,61","711,08","42210,86","1788565,36","970631,91"
2025,10,G,GUAYAS,ALFREDO BAQUERIZO MORENO,"2486789,92","1136137,4",0,"141597,89",0,"2389344,54","978864,62","2171,82","22494,44","3622927,32","3392875,42"
2025,10,A,LOJA,CATAMAYO,"99597,07","1144565,53",0,"9787,43",0,"199511,47","729197,66",0,"1715,05","1244162,6","930424,18"
2025,10,J,GUAYAS,SAMBORONDON,"7921436,79","1151098,53",0,0,"323294,11","6374475,09","178228,2","4297,37","25929,27","9395829,43","7379923,88"
2025,10,O,CHIMBORAZO,RIOBAMBA,"145414,03","1152265,77",1364,0,0,"2547764,18","2376027,85","12,49","22934,78","1297679,8","4946739,3"
2025,10,G,MANABI,SANTA ANA,"2828782,65","1153489,92",0,"560047,4",0,"2960302,24","386746,24","1561,27","25740,59","3982272,57","3374350,34"
2025,10,O,IMBABURA,IBARRA,"221122,98","1159831,5",0,0,"2246,56","5956095,06","1038622,85",0,"32600,75","1383201,04","7027318,66"
2025,10,G,MANABI,FLAVIO ALFARO,"653789,05","1164357,44",0,"86124,8",0,"1112557,15","564204,61","30480,38","605,45","1818146,49","1707847,59"
2025,10,G,LOS RIOS,PALENQUE,"838917,62","1178052,15",0,"104136,9",0,"844871,64","689696,37",0,"40616,65","2016969,77","1575184,66"
2025,10,G,GUAYAS,NOBOL,"2585681,96","1185303,65",0,"202562,13","37842,2","2337076,16","1022473,75","462,45","47069,34","3808827,81","3407081,7"
2025,10,I,TUNGURAHUA,AMBATO,"2991408,26","1185851,2","100099,65",0,0,"1832706,93","1418875,7","26735,79","167748,98","4177259,46","3446067,4"
2025,10,K,MANABI,BOLIVAR,"103897,34","1187542,77",0,0,0,"238175,98","1062088,3",0,"978,1","1291440,11","1301242,38"
2025,10,Q,LOS RIOS,QUEVEDO,"72090,83","1189291,11",0,0,0,"685593,89","531095,48",0,"24919,53","1261381,94","1241608,9"
2025,10,L,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,"2727028,31","1195232,26",0,"908,57",0,"4472112,62","505188,24","106123,16","109293,55","3922260,57","5192717,57"
2025,10,Q,GUAYAS,MILAGRO,"111362,19","1195387,29",0,0,0,"2408764,37","1028418,65","152,47","39914,57","1306749,48","3477250,06"
2025,10,H,LOS RIOS,BUENA FE,"81927,62","1197026,48",0,0,0,"240390,3","897590,75",0,"10510,38","1278954,1","1148491,43"
